uid	Health	acquariumType	age	alive	ancestors	birth	color	deathNum	fishInVision	foodInVision	generation	hitbox	lenX	lenY	lookingBounds	parent	showVision	uid	visionValueFront	visionValueLeft	visionValueRight	x	y
31013	150	Fish	15005	False	7984,29799,14867,60889,21923,5388,	59978	(50, 207, 223)	15000	[]	[19748]	7	(1278, 688, 60, 60)	60	60	(1218, 628, 1398, 808)	5388	True	31013	60	10	10	1278	688
34042	125	Fish	2159	True		46811	(239, 147, 0)	15000	[24459, 25674, 49481, 29830]	[50908, 42315, 52952, 47216, 57153, 15689, 6773, 51274, 30584, 19460, 17194, 27392, 17406, 43077]	1	(341, 276, 60, 60)	60	60	(281, 216, 461, 396)		True	34042	60	10	10	341	276
55909	150	Fish	7612	True	34042,	48983	(186, 197, 14)	15000	[12625, 47825, 19389, 4823, 57474]	[42315, 42961, 52952, 47216, 1413, 57153, 57824, 38199, 51499, 3230, 30584, 17194, 27392, 17406, 43077, 54547, 56950, 3098, 43472, 37405, 788, 28328, 35317, 1993, 6622, 52060, 55494, 62003, 6795, 14751, 10064, 3290]	2	(347, 345, 60, 60)	60	60	(287, 285, 467, 465)	34042	True	55909	60	10	10	347	345
38324	150	Fish	3361	True	34042,55909,	56607	(38, 213, 188)	15000	[36981, 34313, 49267, 62442]	[42315, 42961, 47216, 1413, 57153, 57824, 38199, 51499, 3230, 30584, 27392, 17406, 43077, 54547, 56950, 43472, 37405, 788, 50687, 28328, 35317, 1993, 6622, 52060, 55494, 6795, 14751, 10064, 3290]	3	(355, 355, 60, 60)	60	60	(295, 295, 475, 475)	55909	True	38324	60	10	10	355	355
29959	150	Fish	1766	True	34042,55909,38324,	59978	(15, 72, 87)	15000	[41686, 757, 47766, 27355]	[42315, 42961, 52952, 47216, 1413, 57153, 57824, 38199, 51499, 3230, 30584, 27392, 25924, 17406, 43077, 54547, 56950, 43472, 37405, 788, 28328, 35317, 1993, 6622, 52060, 55494, 62003, 6795, 23660, 14751, 10064, 3290]	4	(362, 344, 60, 60)	60	60	(302, 284, 482, 464)	38324	True	29959	60	10	10	362	344
27107	100	Fish	2159	True		46811	(133, 152, 14)	15000	[]	[43224, 10275, 29661, 49948, 39995, 16090, 33416, 57577, 19164, 30414, 3915, 31723]	1	(93, 560, 60, 60)	60	60	(33, 500, 213, 680)		True	27107	60	10	10	93	560
51625	150	Fish	7612	True	27107,	48983	(187, 52, 155)	15000	[48291]	[10275, 33416, 57577, 60381, 40859]	2	(40, 574, 60, 60)	60	60	(-20, 514, 160, 694)	27107	True	51625	60	10	10	40	574
14762	150	Fish	3361	True	27107,51625,	56607	(237, 190, 39)	15000	[]	[10275, 33416, 57577, 30414, 3915, 33805, 36079, 60381, 40859]	3	(59, 546, 60, 60)	60	60	(-1, 486, 179, 666)	51625	True	14762	60	10	10	59	546
49613	150	Fish	1766	True	27107,51625,14762,	59978	(160, 249, 231)	15000	[29200]	[10275, 33416, 57577, 30414, 3915, 33805, 36079, 60381, 40859]	4	(60, 544, 60, 60)	60	60	(0, 484, 180, 664)	14762	True	49613	60	10	10	60	544
21612	125	Fish	945	True		55650	(6, 54, 231)	15000	[]	[10677, 1274, 58272, 16750, 21549, 53629, 26191, 26588, 11795, 32399, 48429, 61434, 14751]	1	(69, 162, 60, 60)	60	60	(9, 102, 189, 282)		True	21612	60	10	10	69	162
38158	150	Fish	3361	True	21612,	56607	(202, 53, 163)	15000	[]	[10677, 1274, 58272, 16750, 21549, 53629, 26191, 26588, 33308, 48429, 14751]	2	(73, 149, 60, 60)	60	60	(13, 89, 193, 269)	21612	True	38158	60	10	10	73	149
27781	150	Fish	1766	True	21612,38158,	59978	(180, 182, 82)	15000	[]	[10677, 1274, 58272, 16750, 21549, 53629, 26191, 26588, 48429, 14751]	3	(68, 147, 60, 60)	60	60	(8, 87, 188, 267)	38158	True	27781	60	10	10	68	147
